event_id,date,month,source_page,confidence,close,execution_price,buy_units,sell_units,prev_open_long_units,prev_open_short_units,next_open_long_units,next_open_short_units,prev_state,next_state,state_transition,position_id_before,position_id_after,leg_id_after,reversal_flag,lock_state_flag,raw_trade,raw_open_position,note
TACHI_EVT_047,1976-10-15,1976-10,B0300,high_visual,2130,2090,0,2,0,14,0,16,short_only,short_only,add_short,TACHI_PIONEER_1976_007,TACHI_PIONEER_1976_007,4,0,0,? 2,? 16,
TACHI_EVT_048,1976-10-20,1976-10,B0300,high_visual,2140,2160,0,2,0,16,0,18,short_only,short_only,add_short,TACHI_PIONEER_1976_007,TACHI_PIONEER_1976_007,5,0,0,? 2,? 18,
TACHI_EVT_049,1976-10-21,1976-10,B0300,high_visual,2160,2150,0,2,0,18,0,20,short_only,short_only,add_short,TACHI_PIONEER_1976_007,TACHI_PIONEER_1976_007,6,0,0,? 2,? 20,
TACHI_EVT_050,1976-10-29,1976-10,B0300,high_visual,2230,2230,0,2,0,20,0,22,short_only,short_only,add_short,TACHI_PIONEER_1976_007,TACHI_PIONEER_1976_007,7,0,0,? 2,? 22,
TACHI_EVT_051,1976-10-30,1976-10,B0300,high_visual,2240,2220,0,2,0,22,0,24,short_only,short_only,add_short,TACHI_PIONEER_1976_007,TACHI_PIONEER_1976_007,8,0,0,? 2,? 24,
TACHI_EVT_052,1976-11-05,1976-11,B0301,high_visual,2160,2150,0,2,0,24,0,26,short_only,short_only,add_short,TACHI_PIONEER_1976_007,TACHI_PIONEER_1976_007,9,0,0,? 2,? 26,
TACHI_EVT_053,1976-11-06,1976-11,B0301,high_visual,2140,2140,0,2,0,26,0,28,short_only,short_only,add_short,TACHI_PIONEER_1976_007,TACHI_PIONEER_1976_007,10,0,0,? 2,? 28,
TACHI_EVT_054,1976-11-08,1976-11,B0301,high_visual,2140,2150,0,20,0,28,0,48,short_only,short_only,add_short,TACHI_PIONEER_1976_007,TACHI_PIONEER_1976_007,11,0,0,? 20,? 48,
TACHI_EVT_055,1976-11-09,1976-11,B0301,high_visual,2120,2130,0,50,0,48,0,98,short_only,short_only,add_short,TACHI_PIONEER_1976_007,TACHI_PIONEER_1976_007,12,0,0,? 50,? 98,
TACHI_EVT_056,1976-11-10,1976-11,B0301,high_visual,2110,2120,0,102,0,98,0,200,short_only,short_only,add_short,TACHI_PIONEER_1976_007,TACHI_PIONEER_1976_007,13,0,0,? 102,? 200,
TACHI_EVT_057,1976-11-13,1976-11,B0301,high_visual,2340,2340,200,0,0,200,0,0,short_only,flat,cover_short_to_flat,TACHI_PIONEER_1976_007,,,0,0,200 ?,0,Buy-back to flat.
TACHI_EVT_058,1976-11-17,1976-11,B0301,medium_visual,2400,2240,0,5,0,0,0,5,flat,short_only,enter_short,,TACHI_PIONEER_1976_008,1,0,0,? 5,? 5,Execution price far below close; visually confirmed but worth recheck.
TACHI_EVT_059,1976-11-18,1976-11,B0301,high_visual,2330,2380,5,0,0,5,0,0,short_only,flat,cover_short_to_flat,TACHI_PIONEER_1976_008,,,0,0,5 ?,0,Flat after buy-back.
TACHI_EVT_060,1976-11-19,1976-11,B0301,high_visual,2420,2340,0,5,0,0,0,5,flat,short_only,enter_short,,TACHI_PIONEER_1976_009,1,0,0,? 5,? 5,
TACHI_EVT_061,1976-11-24,1976-11,B0301,high_visual,2390,2440,10,0,0,5,5,0,short_only,long_only,reverse_short_to_long,TACHI_PIONEER_1976_009,TACHI_PIONEER_1976_010,1,1,0,10 ?,5 ?,Reversal from short 5 to long 5.
TACHI_EVT_062,1976-11-25,1976-11,B0301,high_visual,2400,2400,5,0,5,0,10,0,long_only,long_only,add_long,TACHI_PIONEER_1976_010,TACHI_PIONEER_1976_010,2,0,0,5 ?,10 ?,
TACHI_EVT_063,1976-11-26,1976-11,B0301,high_visual,2430,2390,5,0,10,0,15,0,long_only,long_only,add_long,TACHI_PIONEER_1976_010,TACHI_PIONEER_1976_010,3,0,0,5 ?,15 ?,
TACHI_EVT_064,1976-11-27,1976-11,B0301,high_visual,2460,2460,20,0,15,0,35,0,long_only,long_only,add_long,TACHI_PIONEER_1976_010,TACHI_PIONEER_1976_010,4,0,0,20 ?,35 ?,
TACHI_EVT_065,1976-12-04,1976-12,B0302,high_visual,2420,2410,5,0,35,0,40,0,long_only,long_only,add_long,TACHI_PIONEER_1976_010,TACHI_PIONEER_1976_010,5,0,0,5 ?,40 ?,
TACHI_EVT_066,1976-12-06,1976-12,B0302,high_visual,2500,2380,5,0,40,0,45,0,long_only,long_only,add_long,TACHI_PIONEER_1976_010,TACHI_PIONEER_1976_010,6,0,0,5 ?,45 ?,
TACHI_EVT_067,1976-12-07,1976-12,B0302,high_visual,2490,2500,5,0,45,0,50,0,long_only,long_only,add_long,TACHI_PIONEER_1976_010,TACHI_PIONEER_1976_010,7,0,0,5 ?,50 ?,
TACHI_EVT_068,1976-12-09,1976-12,B0302,high_visual,2480,2510,10,0,50,0,60,0,long_only,long_only,add_long,TACHI_PIONEER_1976_010,TACHI_PIONEER_1976_010,8,0,0,10 ?,60 ?,
TACHI_EVT_069,1976-12-10,1976-12,B0302,high_visual,2540,2490,20,0,60,0,80,0,long_only,long_only,add_long,TACHI_PIONEER_1976_010,TACHI_PIONEER_1976_010,9,0,0,20 ?,80 ?,
TACHI_EVT_070,1976-12-11,1976-12,B0302,high_visual,2670,2580,20,0,80,0,100,0,long_only,long_only,add_long,TACHI_PIONEER_1976_010,TACHI_PIONEER_1976_010,10,0,0,20 ?,100 ?,
TACHI_EVT_071,1976-12-13,1976-12,B0302,high_visual,2680,2690,50,0,100,0,150,0,long_only,long_only,add_long,TACHI_PIONEER_1976_010,TACHI_PIONEER_1976_010,11,0,0,50 ?,150 ?,
TACHI_EVT_072,1976-12-20,1976-12,B0302,high_visual,2540,2600,0,50,150,0,100,0,long_only,long_only,reduce_long,TACHI_PIONEER_1976_010,TACHI_PIONEER_1976_010,12,0,0,? 50,100 ?,Partial exit.
TACHI_EVT_073,1976-12-21,1976-12,B0302,high_visual,2570,2540,0,50,100,0,50,0,long_only,long_only,reduce_long,TACHI_PIONEER_1976_010,TACHI_PIONEER_1976_010,13,0,0,? 50,50 ?,Partial exit.
TACHI_EVT_074,1976-12-24,1976-12,B0302,high_visual,2580,2570,0,50,50,0,0,0,long_only,flat,exit_long_to_flat,TACHI_PIONEER_1976_010,,,0,0,? 50,0,Flat after exit.
